video_id,title,category,subcategory,region,channel_type,published_at,trending_date,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend,title_length
YT00000,Hip Hop creator video 0: trending ideas,Music,Hip Hop,United States,Individual,2025-06-20,2025-07-02,246060.0,7087.0,333.0,210.0,48184.95,73376.0,12.0,14.0,9639.0,39
YT00001,Technology creator video 1: trending ideas,Education,Technology,Canada,Educational,2025-03-26,2025-04-03,364519.0,19984.0,1358.0,745.0,83047.22,502235.0,8.0,15.0,9951.0,42
YT00002,Technology creator video 2: trending ideas,Education,Technology,Canada,Media Company,2025-06-04,2025-06-07,275288.0,26122.0,3180.0,521.0,46537.49,675963.0,3.0,2.0,10901.0,42
YT00003,Walkthrough creator video 3: trending ideas,Gaming,Walkthrough,United States,Media Company,2025-09-19,2025-09-23,652630.0,33350.0,1141.0,2347.0,182113.31,1275379.0,4.0,17.0,12084.0,43
YT00004,Comedy creator video 4: trending ideas,Entertainment,Comedy,India,Individual,2025-10-11,2025-10-12,675495.0,40310.0,2279.0,1965.0,123002.18,3280868.0,1.0,8.0,3298.0,38
YT00005,Technology creator video 5: trending ideas,Education,Technology,Australia,Educational,2025-09-02,2025-09-09,222746.0,16978.0,2620.0,561.0,18687.11,546623.0,7.0,7.0,10138.0,42
YT00006,Esports creator video 6: trending ideas,Gaming,Esports,India,Media Company,2025-04-28,2025-05-02,424334.0,16159.0,485.0,924.0,98278.25,3713171.0,4.0,15.0,9349.0,39
YT00007,Technology creator video 7: trending ideas,Education,Technology,United Kingdom,Individual,2025-07-23,2025-07-27,335930.0,20335.0,2606.0,873.0,76644.23,3418248.0,4.0,4.0,13951.0,42
YT00008,Science creator video 8: trending ideas,Education,Science,India,Brand,2025-06-13,2025-06-15,585015.0,51276.0,1679.0,3598.0,64995.99,843689.0,2.0,18.0,14608.0,39
YT00009,Walkthrough creator video 9: trending ideas,Gaming,Walkthrough,Australia,Individual,2025-03-24,2025-04-06,576077.0,25227.0,3601.0,2128.0,133645.97,1668994.0,13.0,7.0,15025.0,43
YT00010,Comedy creator video 10: trending ideas,Entertainment,Comedy,United States,Media Company,2025-04-28,2025-05-09,620472.0,41260.0,4038.0,2523.0,58935.73,701924.0,11.0,9.0,17579.0,39
YT00011,Esports creator video 11: trending ideas,Gaming,Esports,Canada,Educational,2025-08-19,2025-08-25,491353.0,31884.0,2348.0,536.0,103441.33,2602055.0,6.0,2.0,13860.0,40
