trend_fact_key,video_id,date_key,geography_key,channel_key,subcategory_key,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend,title_length,popularity_score
1,YT00000,178,5,3,4,246060,7087,333,210,48184.95,73376,12,14,9639.0,39,13.3443
2,YT00001,89,2,2,7,364519,19984,1358,745,83047.22,502235,8,15,9951.0,42,23.4455
3,YT00002,153,2,4,7,275288,26122,3180,521,46537.49,675963,3,2,10901.0,42,27.9565
4,YT00003,261,5,4,8,652630,33350,1141,2347,182113.31,1275379,4,17,12084.0,43,34.2756
5,YT00004,280,3,3,1,675495,40310,2279,1965,123002.18,3280868,1,8,3298.0,38,36.7063
6,YT00005,247,1,2,7,222746,16978,2620,561,18687.11,546623,7,7,10138.0,42,22.3393
7,YT00006,117,3,4,2,424334,16159,485,924,98278.25,3713171,4,15,9349.0,39,22.4529
8,YT00007,203,4,3,7,335930,20335,2606,873,76644.23,3418248,4,4,13951.0,42,23.6163
9,YT00008,161,3,1,6,585015,51276,1679,3598,64995.99,843689,2,18,14608.0,39,39.5984
10,YT00009,92,1,3,8,576077,25227,3601,2128,133645.97,1668994,13,7,15025.0,43,29.8657
11,YT00010,124,5,4,1,620472,41260,4038,2523,58935.73,701924,11,9,17579.0,39,36.2238
12,YT00011,232,2,2,2,491353,31884,2348,536,103441.33,2602055,6,2,13860.0,40,30.1452
13,YT00012,266,4,4,8,703422,61501,8382,2692,140066.26,3683387,4,8,15813.0,44,43.5714
14,YT00013,16,5,3,4,865363,101523,8877,7848,57814.85,3900530,12,6,2819.0,40,53.6833
15,YT00014,64,2,3,3,523003,41694,4532,3608,41965.9,2455555,13,14,7506.0,49,35.7921
16,YT00015,133,4,1,4,280616,22028,2184,607,24466.2,187995,9,17,1808.0,40,24.9528
17,YT00016,247,2,4,8,393041,29741,4328,795,105194.61,3405106,13,14,2755.0,44,28.7168
18,YT00017,25,4,4,5,464930,19450,1632,1200,78780.97,241196,14,10,13723.0,36,24.8807
19,YT00018,156,1,2,2,447750,49561,4489,4086,113106.84,2840778,14,6,14044.0,40,37.4829
20,YT00019,66,2,1,4,781872,66887,11023,2317,120876.79,151913,1,14,9893.0,40,46.0246
21,YT00020,209,5,4,8,387968,33210,2753,1021,87401.31,2347451,14,18,4909.0,44,30.6583
22,YT00021,6,1,4,7,168907,4249,487,163,32586.35,422334,5,11,1431.0,43,9.6474
23,YT00022,216,3,2,4,188696,6194,519,512,39796.02,1000393,12,2,3025.0,40,12.3867
24,YT00023,223,1,3,4,1093250,71354,11020,5364,125697.45,3566141,8,18,14693.0,40,54.5443
25,YT00024,169,1,3,5,677925,48812,3098,775,47022.62,252653,3,10,14290.0,36,38.8246
