video_id,title,category,subcategory,region,channel_type,published_at,trending_date,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend
YT00000,Hip Hop creator video 0: trending ideas,Music,Hip Hop,United States,Individual,2025-06-20,2025-07-02,246060,7087,333,210,48184.95,73376,12,14,9639
YT00001,Technology creator video 1: trending ideas,Education,Technology,Canada,Educational,2025-03-26,2025-04-03,364519,19984,1358,745,83047.22,502235,8,15,9951
YT00002,Technology creator video 2: trending ideas,Education,Technology,Canada,Media Company,2025-06-04,2025-06-07,275288,26122,3180,521,46537.49,675963,3,2,10901
YT00003,Walkthrough creator video 3: trending ideas,Gaming,Walkthrough,United States,Media Company,2025-09-19,2025-09-23,652630,33350,1141,2347,182113.31,1275379,4,17,12084
YT00004,Comedy creator video 4: trending ideas,Entertainment,Comedy,India,Individual,2025-10-11,2025-10-12,675495,40310,2279,1965,123002.18,3280868,1,8,3298
YT00005,Technology creator video 5: trending ideas,Education,Technology,Australia,Educational,2025-09-02,2025-09-09,222746,16978,2620,561,18687.11,546623,7,7,10138
YT00006,Esports creator video 6: trending ideas,Gaming,Esports,India,Media Company,2025-04-28,2025-05-02,424334,16159,485,924,98278.25,3713171,4,15,9349
YT00007,Technology creator video 7: trending ideas,Education,Technology,United Kingdom,Individual,2025-07-23,2025-07-27,335930,20335,2606,873,76644.23,3418248,4,4,13951
YT00008,Science creator video 8: trending ideas,Education,Science,India,Brand,2025-06-13,2025-06-15,585015,51276,1679,3598,64995.99,843689,2,18,14608
YT00009,Walkthrough creator video 9: trending ideas,Gaming,Walkthrough,Australia,Individual,2025-03-24,2025-04-06,576077,25227,3601,2128,133645.97,1668994,13,7,15025
YT00010,Comedy creator video 10: trending ideas,Entertainment,Comedy,United States,Media Company,2025-04-28,2025-05-09,620472,41260,4038,2523,58935.73,701924,11,9,17579
YT00011,Esports creator video 11: trending ideas,Gaming,Esports,Canada,Educational,2025-08-19,2025-08-25,491353,31884,2348,536,103441.33,2602055,6,2,13860
YT00012,Walkthrough creator video 12: trending ideas,Gaming,Walkthrough,United Kingdom,Media Company,2025-09-24,2025-09-28,703422,61501,8382,2692,140066.26,3683387,4,8,15813
YT00013,Hip Hop creator video 13: trending ideas,Music,Hip Hop,United States,Individual,2025-01-07,2025-01-19,865363,101523,8877,7848,57814.85,3900530,12,6,2819
YT00014,Film & Animation creator video 14: trending ideas,Entertainment,Film & Animation,Canada,Individual,2025-02-23,2025-03-08,523003,41694,4532,3608,41965.9,2455555,13,14,7506
YT00015,Hip Hop creator video 15: trending ideas,Music,Hip Hop,United Kingdom,Brand,2025-05-09,2025-05-18,280616,22028,2184,607,24466.2,187995,9,17,1808
YT00016,Walkthrough creator video 16: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-08-27,2025-09-09,393041,29741,4328,795,105194.61,3405106,13,14,2755
YT00017,Pop creator video 17: trending ideas,Music,Pop,United Kingdom,Media Company,2025-01-14,2025-01-28,464930,19450,1632,1200,78780.97,241196,14,10,13723
YT00018,Esports creator video 18: trending ideas,Gaming,Esports,Australia,Educational,2025-05-27,2025-06-10,447750,49561,4489,4086,113106.84,2840778,14,6,14044
