dimension,member,total_views,total_likes,avg_popularity_score
category,Music,220476249,15509749,36.52
region,United States,145629078,10498352,32.76
channel,Individual,175978947,12155304,32.5
category,Education,146806229,10461474,26.91
region,Canada,158084139,11361648,33.36
channel,Educational,198264743,14970336,32.84
channel,Media Company,192321323,13454623,32.17
category,Gaming,198677861,15318280,33.75
category,Entertainment,197409055,13801761,33.63
region,India,148561286,10656782,32.21
region,Australia,159764208,11647107,32.77
region,United Kingdom,151330683,10927375,31.7
channel,Brand,196804381,14511001,32.69
